[2023-10-29 14:15:21.278] [pxr_streamer] [info] ***********  Log Begin **********
[2023-10-29 14:15:21.278] [pxr_streamer] [info] process id= 13548
[2023-10-29 14:15:21.278] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:21.279] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x47d6c950
[2023-10-29 14:15:21.279] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x47d6c950
[2023-10-29 14:15:24.327] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:27.366] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:30.402] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:33.425] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:36.451] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:39.498] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:41.275] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfa52f650
[2023-10-29 14:15:41.276] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xfa52f650
[2023-10-29 14:15:41.276] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xfa52f650
[2023-10-29 14:15:42.526] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47d6c950
[2023-10-29 14:15:44.333] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xfa52f650
