[2023-11-06 11:33:01.249] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-06 11:33:01.249] [pxr_streamer] [info] process id= 13772
[2023-11-06 11:33:01.249] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:01.249] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x47aa4cc0
[2023-11-06 11:33:01.250] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x47aa4cc0
[2023-11-06 11:33:04.320] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:07.367] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:10.393] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:13.444] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:16.489] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:19.549] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:22.597] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:25.636] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:28.689] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:31.740] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:34.800] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:37.824] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:40.878] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:43.928] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:46.990] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:50.032] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
[2023-11-06 11:33:53.058] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x47aa4cc0
